typo,perbaikan
abgny,abangnya
abis,habis
ad,ada
adek,adik
adik2,adik-adik
adik2ku,adik-adikku
adikny,adiknya
adiknyah,adiknya
adiku,adikku
adikya,adiknya
adilanya,adilannya
adill,adil
adknya,adiknya
adl,adalah
adlah,adalah
adlh,adalah
adminirtrasi,administrasi
administarasi,administrasi
administasi,administrasi
administrai,administrasi
administratror,administrator
admistrasi,administrasi
admnistrasi,administrasi
adnak,anak
advoksi,advokasi
adyminitrasi,administrasi
aeperti,seperti
afdapun,adapun
afimasi,afirmasi
aga,agak
agma,agama
agr,agar
ah0k,ahok
aj,saja
aja,saja
ajah,saja
ajalah,saja
aje,saja
ajh,saja
ak,aku
akhirmya,akhirnya
akhirna,akhirnya
akhirny,akhirnya
akhirya,akhirnya
akhr,akhir
akhrnya,akhirnya
akhry,akhirnya
akhrya,akhirnya
akiba,akibat
akibar,akibat
akibatx,akibat
akibt,akibat
akihrnya,akhirnya
akir2,akhir
akirnya,akhirnya
akitf,aktif
akn,akan
akomodir,akomodasi
akrditasi,akreditasi
akreditas,akreditasi
akrena,karena
akt,akta
akte,akta
aktenya,aktanya
akter,akta
akternatif,alternatif
aktifasi,aktivasi
aktifasinya,aktivasinya
aktifias,aktivitas
aktifis,aktivis
aktifitas,aktivitas
aktifitaspengerjaan,aktivitas pengerjaan
aktiftas,aktivitas
aktip,aktif
aktipitas,aktivitas
aktivsi,aktivasi
aku,saya
alaasn,alasan
alalamat,alamat
alama,alamat
alamaku,alamatku
alamamat,alamat
alamatna,alamatnya
alamatny,alamatnya
alamt,alamat
alamtnya,alamatnya
alanat,alamatnya
alangakah,alangkah
alangka,alangkah
alasa,alasan
alasaan,alasan
alasaannya,alasannya
alasane,alasan
alasanx,alasan
alasanya,alasannya
alasanyajl,alasannya
alasn,alasan
alasnya,alasannya
alassan,alasan
alassannm,alasan
alatm,alat
alesan,alasan
almamat,alamat
almarhm,almarhum
almarhumah,almarhum
almat,alamat
almh,almarhum
almhum,almarhum
almt,alamat
almta,alamat
almtny,alamatnya
almtnya,alamatnya
almtx,alamat
alngkah,alangkah
alnjutnya,selanjutnya
alon2,calon
alsan,alasan
alsannya,alasannya
alsanx,alasan
alsn,alasan
alsnnya,alasannya
alsnya,alasannya
alumnium,aluminium
ambilny,ambilnya
ambily,ambilnya
ambl,ambil
amblnya,ambilnya
ambuk,ambruk
ambulan,ambulans
ambulancea,ambulans
amen,amen
amengalami,mengalami
america,amerika
amet,sangat
amiin,amin
ampai,sampai
ampe,sampai
amplopmya,amplopnya
ancur,hancur
ane,saya
anget,hangat
anakx,anak
anaky,anaknya
anakya,anaknya
angg0ta,anggota
anggkot,angkot
anggotta,anggota
anggp,anggap
anggt,anggota
anggta,anggota
angkmutan,angkutan
angkor,angkot
angkots,angkot
angkt,angkota
angktn,angkutan
angktnya,angkutannya
angkuatn,angkutan
angkutam,angkutan
angkutn,angkutan
angrn,anggaran
anjurn,anjuran
anknya,anak
ankot,angkot
anku,anakku
antr,antara
antra,antara
antran,antiran
antre,antri
antrean,antrian
antreannya,antriannya
antrenya,antrinya
ap,apa
apabula,apabila
apadahal,padahal
apah,apa
apahkah,apakah
apain,apakan
apak,apa
apaka,apakah
apakaah,apakah
apakaha,apakah
apakahh,apakah
apakakah,apakah
apakh,apakah
apalagiq,apalagi
apalagir,apalagi
apalagmi,apalagi
apalg,apalagi
apalgi,apalagi
apap,apapun
apapu,apapun
aparatny,aparatnya
aparaty,aparatnya
apartemen2,apartemen
apartement,apartemen
apartemet,apartemen
apartmen,apartemen
apartment,apartemen
apartrment,apartemen
apatkanya,dapatkannya
apbila,apabila
apbla,apabila
apdahal,padahal
aperatur,aparatur
aperhatikan,perhatikan
apk,apakah
apka,apakah
apkah,apakah
apkh,apakah
aplg,apalagi
aplgi,apalagi
apo,apa
aporan,laporan
apotik,apotek
apotiknya,apoteknya
apotk,apotek
appa,apa
appun,apapun
aprarat,aparat
aprat,aparat
apratur,aparatur
apresia,apresiasi
apresiai,apresiasi
apresinya,apresiasinya
aprl,april
aprt,aparatur
aprtemen,apartemen
apsen,absen
aq,saya
aqar,agar
araha,arahan
arahn,arahan
argument,argumen
arh,arah
asangat,sangat
asesor,aksesoris
asesoris,aksesoris
asesorisnya,aksesorisnya
asetiap,setiap
asik,asyik
asikin,asyik
asliya,aslinya
asosoris,aksesoris
aspxsetelah,setelah
asset,aset
assetnya,asetnya
ataau,atau
asek,asik
ati2,hati-hati
atit,sakit
ato,atau
atu,atau
atw,atau
ayang,sayang
ayuk,ayo
bae,baik
bagaimmana,bagaimana
bagaimn,bagaimana
bagaimna,bagaimana
bagaina,bagaimana
bagamaina,bagaimana
bagaman,bagaimana
bagamana,bagaimana
bagamna,bagaimana
bagay,bagaimana
bagaymana,bagaimana
bagaymna,bagaimana
bagi2,bagi-bagi
bagi2x,bagi-bagi
bagiat,bagian
bgian,bagian
bagika,bagikan
bagikn,bagikan
bagiman,bagaimana
bagimana,bagaimana
bagimna,bagaimana
baginy,baginya
bags,bagus
baguaimana,bagaimana
bagunan,bangunan
bagus2,bagus-bagus
bahkan0,bahkan
bahklan,bahkan
bahkn,bahkan
bahua,bahwa
bahw,bahwa
bahwah,bahwa
baimana,bagaimana
bakalan,akan
balekkn,kembalikan
bales,balas
balikan,balikkan
banget,sekali
bangett,sangat
bany,banyak
banyakin,perbanyak
banya,banyak
banyk,banyak
banyaak,banyak
barengan,bersamaan
baso,bakso
bcs,bisa
bct,bicara
bdan,badan
bdg,bandung
bdn,badan
becanda,bercanda
bedua,berdua
bego,goblok
bekel,bekal
belom,belum
belon,belum
bener,benar
bener2,benar-benar
beneran,benar
berantem,bertengkar
berenti,berhenti
bete,sebal
bg,bagi
bgd,sangat
bget,sangat
bgi,bagi
bgini,begini
bgitu,begitu
bgks,bungkus
bgm,bagaimana
bgmn,bagaimana
bgn,bangun
bgt,sangat
bgtu,begitu
bgus,bagus
bhn,bahan
bhs,bahas
bhw,bahwa
bhwa,bahwa
bhy,bahaya
bj,baju
bju,baju
bk,buku
bkan,bukan
bkin,bikin
bkl,bakal
bkn,bukan
bkr,bakar
bks,bungkus
bl,beli
blajar,belajar
blg,bilang
blh,boleh
bli,beli
blik,balik
bljr,belajar
blk,balik
blkg,belakang
blkng,belakang
blkang,belakang
blkngny,belakangnya
blm,belum
bln,bulan
blng,bilang
blngn,bilang
blom,belum
bls,balas
blum,belum
bndg,bandung
bndr,bandar
bner,benar
bneran,benar
bnget,sangat
bngks,bungkus
bngng,bingung
bngt,sangat
bngun,bangun
bnr,benar
bnrbnr,benar-benar
bnrn,benar
bntar,sebentar
bntr,sebentar
bnyak,banyak
bnyk,banyak
bnykny,banyaknya
bobo,tidur
bobok,tidur
bokap,ayah
bole,boleh
boong,bohong
bosen,bosan
bpk,bapak
br,baru
brangkat,berangkat
brani,berani
brapa,berapa
brarti,berarti
bras,beras
brasa,berasa
brg,barang
brgkt,berangkat
brhsl,berhasil
brjln,berjalan
brkfst,breakfast
brkt,berangkat
brmslh,bermasalah
brngkt,berangkat
brp,berapa
brpa,berapa
brrti,berarti
brs,beres
brshbt,bersahabat
brsm,bersama
brthn,bertahan
brtmn,berteman
brtny,bertanya
bru,baru
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
bsr,besar
btg,batang
bth,butuh
btl,betul
btul,betul
buad,buat
buatin,buatkan
bw,bawa
bwa,bawa
bwh,bawah
bwt,buat
byk,banyak
bynk,banyak
byr,bayar
cakep,cakap
cape,capai
capek,capai
cb,coba
cepet,cepat
cewe,cewek
ckp,cukup
ckrg,sekarang
ckup,cukup
cm,cuma
cma,cuma
cman,hanya
cmn,hanya
cmpk,cempaka
cowo,cowok
cpat,cepat
cpet,cepat
cpt,cepat
cptn,cepatan
cra,cara
crt,cerita
cth,contoh
cuman,hanya
cw,cewek
cwe,cewek
cwo,cowok
d,di
dah,sudah
dalem,dalam
dalm,dalam
dapet,dapat
dapetin,mendapatkan
dateng,datang
dblg,dibilang
dblkng,dibelakang
dbls,dibalas
dbwt,dibuat
dbyr,dibayar
denger,dengar
dftr,daftar
dg,dengan
dgan,dengan
dgn,dengan
dgr,dengar
dksh,dikasih
dkt,dekat
dl,dulu
dlm,dalam
dlrng,dilarang
dlu,dulu
dluan,duluan
dmana,dimana
dmkn,dimakan
dmn,dimana
dmna,dimana
dmnmn,dimana-mana
dmny,dimananya
dn,dan
dng,dengan
dngan,dengan
dngar,dengar
dnger,dengar
dngerin,dengar
dngn,dengan
dngr,dengar
doang,saja
doank,saja
donlot,download
doyan,suka
dpan,depan
dpet,dapat
dpk,depok
dpkrkn,dipikirkan
dpn,depan
dtg,datang
dtgny,datangnya
dtmbh,ditambah
elo,kamu
emang,memang
emangnya,memangnya
emank,memang
emg,memang
emng,memang
engga,tidak
enggak,tidak
enk,enak
entar,nanti
ente,anda
faham,paham
fb,facebook
g,tidak
ga,tidak
gbr,gambar
gdg,gudang
gembel,jelek
gilak,gila
gile,gila
gitu,begitu
gituan,begitu
gituh,begitu
gk,tidak
gmana,bagaimana
gmbr,gambar
gmn,bagaimana
gmna,bagaimana
gmpg,gampang
gmpng,gampang
gratisan,gratis
gt,begitu
gtu,begitu
hbs,habis
hbskn,habiskan
hlang,hilang
hlg,hilang
hlm,halaman
hlmn,halaman
hny,hanya
hnya,hanya
hr,hari
hrap,harap
hrg,harga
hrgny,harganya
hri,hari
hrp,harap
hrs,harus
hrsny,harusnya
hrus,harus
hti,hati
hy,hai
iansia,lansia
idup,hidup
ilang,hilang
inget,ingat
ingetin,ingatkan
ingt,ingat
isteri,istri
istrht,istirahat
it,itu
item,hitam
itumah,itu
iy,iya
iyoo,iya
jadiin,jadi
jatoh,jatuh
jd,jadi
jdi,jadi
jdny,jadinya
jdnya,jadinya
jdwl,jadwal
jem,jam
jg,juga
jga,juga
jgan,jangan
jglh,jagalah
jgn,jangan
jgnjgn,jangan-jangan
jk,jika
jkrt,jakarta
jkrta,jakarta
jkarta,jakarta
jkt,jakarta
jl,jalan
jln,jalan
jm,jam
jmbtn,jembatan
jml,jumlah
jmlh,jumlah
jmpt,jemput
jmt,jumat
jng,jangan
jngan,jangan
jngn,jangan
jpn,jepang
jrg,jarang
jrng,jarang
jt,juta
jwb,jawab
jwban,jawab
jwbn,jawaban
jwbny,jawabannya
k,ke
kagak,tidak
kalee,kali
kalo,kalau
kalu,kalau
kampng,kampung
karna,karena
karoke,karaoke
kasian,kasihan
kau,kamu
kayak,mirip
kayanya,kayaknya
kbnykn,kebanyakan
kbr,kabar
kbtln,kebetulan
kbykn,kebanyakan
kcil,kecil
kcl,kecil
kcmatan,kecamatan
kcmtn,kecamatan
kecakepan,kecakapan
keknya,sepertinya
kel,kelurahan
kelaperan,kelaparan
kelar,selesai
keliatan,kelihatan
kenceng,kencang
kepengen,ingin
kepla,kepala
kesampean,kesampaian
kesel,kesal
kesian,kasihan
ketawa,tertawa
keujanan,kehujanan
kga,tidak
kgak,tidak
kgk,tidak
khabar,kabar
khan,kan
khsny,khususnya
khwtr,khawatir
kl,kalau
klau,kalau
klh,kalah
kli,kali
klmpk,kelompok
klo,kalau
klp,kelompok
klrg,keluarga
kls,kelas
klu,kalau
kluar,keluar
kluarg,keluarga
kluarga,keluarga
klurahan,kelurahan
klurga,keluarga
klurganya,keluarganya
klurhan,kelurahan
klw,kalau
km,kamu
kmaren,kemarin
kmarin,kemarin
kmi,kami
kmn,kemana
kmna,kemana
kmlpks,kompleks
kmps,kamus
kmr,kamar
kmr,kemarin
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
kmu,kamu
kn,kan
kna,kena
knapa,kenapa
knl,kenal
knp,kenapa
knpa,kenapa
kntr,kantor
knyng,kenyang
komp,kompleks
komplek,kompleks
konsen,konsentrasi
koq,kok
kosan,kost
kowe,kamu
kp,kampung
kpala,kepala
kpan,kapan
kpd,kepada
kpg,kampung
kpgn,ingin
kpla,kepala
kpn,kapan
kpngn,ingin
krena,karena
kreta,kereta
krn,karena
krna,karena
krng,kurang
krnnya,karenanya
krupuk,kerupuk
krta,kereta
krtu,kartu
ksh,kasih
ksian,kasihan
ksih,kasih
ksmptn,kesempatan
ksn,kesana
kt,kita
kta,kita
ktdrn,ketiduran
ktny,katanya
ktnya,katanya
ktr,kantor
ku,aku
kuatir,khawatir
kyak,seperti
kyaknya,sepertinya
kyanya,sepertinya
kyk,seperti
laen,lain
lagian,lagi
langsng,langsung
laper,lapar
lb,lembar
lbh,lebih
lbih,lebih
lemes,lemas
lg,lagi
lgi,lagi
lgkp,lengkap
lgs,langsung
lgsg,langsung
lgsng,langsung
lgsung,langsung
liatin,lihat
lm,lama
lmyn,lumayan
lngkp,lengkap
lngsg,langsung
lngsng,langsung
lngsung,langsung
lnjt,lanjut
lnsg,langsung
lnsng,langsung
lo,kamu
loe,kamu
lpngn,lapangan
lpr,lapar
lsg,langsung
lu,kamu
lvl,level
lwt,lewat
makn,makan
malem,malam
malem2,malam-malam
mampet,mampat
mane,mana
maneh,mana
manggil,panggil
mano,mana
mantep,mantap
masala,masalah
masalh,masalah
masakin,masakan
maslh,masalah
mat,selamat
mateng,matang
mdgn,baikan
mdh,mudah
mdpt,mendapat
mesen,pesan
met,selamat
mf,maaf
mgkn,mungkin
mhon,mohon
mhn,mohon
mhs,mahasiswa
mhsw,mahasiswa
mikirin,memikirkan
milih,pilih
minjem,pinjam
miskn,miskin
mk,maka
mka,maka
mkan,makan
mkanan,makanan
mkanya,makanya
mkn,makan
mksdny,maksudnya
mksdnya,maksudnya
mksdq,maksudku
mlh,malah
mlm,malam
mls,malas
mmg,memang
mn,mana
mna,mana
mndapapt,mendapat
mndapat,mendapat
mndapatkan,mendapatkan
mndaptkan,mendapatkan
mndaptkn,mendapatkan
mndptkn,mendapatkan
mndptkan,mendapatkan
mng,menang
mngkin,mungkin
mngkn,mungkin
mnrt,menurut
mnt,minta
mnta,minta
mntp,mantap
mnum,minum
mnyngkn,menyenangkan
mo,mau
moga,semoga
mosok,masa
mreka,mereka
mrh,marah
mrk,mereka
msalah,masalah
msalh,masalah
msg,masing
msh,masih
msih,masih
msk,masuk
mskn,miskin
mskin,miskin
msl,misal
mslh,masalah
mslah,masalah
msti,harus
muke,muka
mulu,terus
mungkn,mungkin
musti,harus
mw,mau
nabung,tabung
naek,naik
nahan,tahan
nambah,tambah
nanya,tanya
napa,kenapa
ndak,tidak
ndk,tidak
negri,negeri
nelen,telan
nemenin,menemani
nemu,temu
nengok,tengok
ngadain,mengadakan
ngajak,mengajak
ngajar,ajar
ngak,tidak
ngakak,terbahak-bahak
ngambek,marah
ngambil,ambil
nganter,antar
nganterin,antar
ngarep,mengharap
ngasi,kasih
ngasih,kasih
ngegosip,gosip
ngeliatin,melihat
ngeluh,keluh
ngerasa,merasa
ngerasain,merasakan
ngerjain,mengerjakan
ngerokok,merokok
ngetik,ketik
ngga,tidak
nggak,tidak
nggk,tidak
ngidam,idam
ngikutin,ikuti
ngilangin,menghilangkan
nginep,menginap
ngingetin,mengingatkan
ngjk,mengajak
ngk,tidak
ngmbl,mengambil
ngmg,omong
ngobrol,bicara
ngomong,bicara
ngomongin,membicarakan
ngunyah,kunyah
ngurus,urus
ninggalin,tinggalkan
nmbh,tambah
nmny,namanya
nmpk,nampak
nmr,nomor
nnti,nanti
nntn,nonton
nnton,nonton
no,nomor
nomer,nomor
nolak,tolak
nraktir,traktir
ntah,entah
ntar,nanti
nti,nanti
ntn,nonton
nton,nonton
ntr,nanti
ntu,itu
nungguin,tunggu
ny,nya
nyakitin,menyakiti
nyalain,nyalakan
nyampe,sampai
nyangka,sangka
nyantai,santai
nyari,cari
nyebelin,menyebalkan
nyesek,sesak
nyesel,menyesal
nyetel,setel
nyiksa,menyiksa
nyoba,coba
nyobain,coba
nyuci,cuci
nyuruh,suruh
nyusul,susul
okeh,baik
ol,online
olh,oleh
org,orang
org2,orang-orang
orng,orang
ortu,orangtua
pa,bapak
pak,bapak
pait,pahit
pake,pakai
pakek,pakai
pantesan,pantas
pcr,pacar
pcrn,pacaran
pcrny,pacarnya
pd,pada
pdahal,padahal
pdhal,padahal
pdhl,padahal
pedes,pedas
pengin,ingin
pesen,pesan
pg,pergi
pgen,ingin
pgn,ingin
phk,pihak
phak,pihak
pihk,pihak
pilem,film
pingin,ingin
pinjem,pinjam
pinter,pintar
pkai,pakai
pke,pakai
plg,pulang
plis,tolong
pling,paling
pljrn,pelajaran
plng,pulang
pndh,pindah
pngen,ingin
pngn,ingin
pnjng,panjang
pnting,penting
pntng,penting
pny,punya
pnya,punya
pokonya,pokoknya
praktek,praktik
prasaan,perasaan
prgi,pergi
prmhn,perumahan
prmptn,perempatan
prnah,pernah
prnh,pernah
propinsi,provinsi
prthnkn,pertahankan
prvinsi,provinsi
psg,pasang
psng,pasang
psr,pasar
psti,pasti
ptg,penting
punye,punya
puter,putar
puterin,putar
qt,kita
qta,kita
rada,agak
rame,ramai
rame2,ramai-ramai
rmbt,rambut
rmh,rumah
rmhq,rumahku
rsk,rusak
saje,saja
salh,salah
sambel,sambal
samo,sama
sampe,sampai
sape,siapa
sbagai,sebagai
sbelum,sebelum
sbg,sebagai
sbgai,sebagai
sbl,sebelah
sblh,sebelah
sblhny,sebelahnya
sblm,sebelum
sblmny,sebelumnya
sblmnya,sebelumnya
sblum,sebelum
sbnt,sebentar
sbntr,sebentar
sbr,sabar
sbtr,sebentar
scr,secara
sdah,sudah
sdang,sedang
sdg,sedang
sdgkn,sedangkan
sdh,sudah
sdikit,sedikit
sdng,sedang
sdngkn,sedangkan
se0rang,seorang
sebel,kesal
sebenernya,sebenarnya
seblm,sebelum
segra,segera
sekola,sekolah
selamat,selamat
selmat,selamat
selow,sebentar
semalem,semalam
sembuhin,sembuhkan
senen,senin
seneng,senang
serem,seram
sesek,sesak
sgala,segala
sgr,segera
sgera,segera
sgra,segera
sgt,sangat
shbt,sahabat
sihat,sehat
sja,saja
skali,sekali
skalian,sekalian
skit,sakit
skitar,sekitar
sklah,sekolah
sklh,sekolah
skola,sekolah
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
skt,sakit
sktar,sekitar
sktr,sekitar
slah,salah
slalu,selalu
slama,selama
slamat,selamat
slamet,selamat
slesai,selesai
slg,saling
slh,salah
slhkn,salahkan
sllu,selalu
slm,salam
slma,selama
slmt,selamat
sls,selesai
sm,sama
smangat,semangat
smbg,sambung
smbh,sembuh
smbhyg,sembahyang
smbil,sambil
smbl,sambil
smbng,sambung
smbrg,sembarang
smbuh,sembuh
smcm,semacam
smg,semoga
smga,semoga
smgt,semangat
smlm,semalam
smlmn,semalaman
smngt,semangat
smntr,sementara
smoga,semoga
smpai,sampai
smpe,sampai
smpt,sempat
smua,semua
smuanya,semuanya
sndiri,sendiri
sndri,sendiri
sngt,sangat
sni,sini
soale,soalnya
sodara,saudara
sopo,siapa
sorang,seorang
sory,maaf
spaya,supaya
sperti,seperti
spnjng,sepanjang
sprt,seperti
sprti,seperti
sprtny,sepertinya
spt,seperti
sptny,sepertinya
spy,supaya
srg,sering
sring,sering
sta,stasiun
stelah,setelah
stgh,setengah
stiap,setiap
stlh,setelah
stngh,setengah
supay,supaya
sy,saya
sya,saya
syg,sayang
sygny,sayangnya
syng,sayang
tapi,tetapi
tggl,tanggal
tangal,tanggal
tau,tahu
taunya,tahunya
td,tadu
tdak,tidak
tdi,tadi
tdk,tidak
tdny,tadinya
tdr,tidur
tdur,tidur
telor,telur
telpon,telepon
temen,teman
temen2,teman-teman
temenin,temani
tetep,tetap
tggu,tunggu
tgh,tengah
tgl,tanggal
tgn,tangan
tgs,tugas
tlg,tolong
tlh,telah
tlng,tolong
tlong,tolong
tlp,telepon
tlpn,telepon
tmbah,tambah
tmbh,tambah
tmen,teman
tmn,teman
tmpat,tempat
tmpt,tempat
tmsk,termasuk
tnggal,tanggal
tnpa,tanpa
tny,ternyata
tnya,tanya
tnyt,ternyata
tolng,tolong
tolog,tolong
tp,tetapi
trdpt,terdapat
trgntng,tergantung
trkdng,terkadang
trkhr,terakhir
trjadi,terjadi
trjd,terjadi
trjdi,terjadi
trlalu,terlalu
trima,terima
trmsk,termasuk
trn,turun
trnsfr,transfer
trnyata,ternyata
trnyt,ternyata
trs,terus
trsbt,tersebut
trsrh,terserah
trun,turun
trus,terus
tsb,tersebut
tsbt,tersebut
ttapi,tetapi
ttd,tertanda
ttep,tetap
ttg,tentang
ttp,tetap
tu,itu
ubat,obat
ud,sudah
uda,sudah
udah,sudah
udeh,sudah
udh,sudah
ujan2an,hujan-hujanan
untk,untuk
unyuk,untuk
utk,untuk
waduh,aduh
wkt,waktu
wktu,waktu
warg,warga
wilyah,wilayah
wilaya,wilayah
wlyah,wilayah
wlyh,wilayah
wlayah,wilayah
wrg,warga
wrga,warga
adalahnama,adalah nama
adalahapakah,adalah apakah
 adalahkenapa,adalah kenapa
adilterima, adil terima
adkan,adakan
adkny,adiknya
adalahsetiap,adalah setiap
adalahsurat,adalah surat
adalh,adalah
adilmakmur,adil makmur
adiln,adilnya
adilsaya,adil saya
adilterima,adil terima
adminsaya,admin saya
admintolong,admin tolong
aduankonten,aduan konten
agarmelakukan,agar melakukan
agarwaktunya,agar waktunya
aiskrim ,es krim
aktetapi,akan tetapi
alasannama,alasan nama
alasannyadari,alasannya dari
ambilkps,ambil kps
anakalamat,anak alamat
anakmasihsekolah,anak masih sekolah
anaksklh,anak sekolah
anakyg,anak yang
ank2,anak-anak
ankyg,anak yang
apakahtidak,apakah tidak
bagiharta,bagi harta
bb,berat badan
anaksma,anak sma
anakkami,anak kami
bgntdr,bangun tidur
dibelakang,di belakang
didepan,di depan
dikantor,di kantor
dikelurahan,di kelurahan
didesa,di desa
didusun,di dusun
dimanapun,di mana pun
dimana,di mana
dirmh,di rumah
disekitar,di sekitar
disekitarnya,di sekitarnya
djkt,di jakarta
djl,di jalan
djln,di jalan
dkls,di kelas
dkntr,di kantor
dkmr,di kamar
dkmps,di kampus
dll,dan lain lain
dpnrmh,depan rumah
drg,dokter gigi
drmh,di rumah
dsb,dan sebagainya
dsblh,di sebelah
dsklh,di sekolah
dst,dan seterusnya
dsni,di sini
dtmpt,di tempat
gaada,tidak ada
gabisa,tidak bisa
gaboleh,tidak boleh
gada,tidak ada
gaenak,tidak enak
gajadi,tidak jadi
gajelas,tidak jelas
gak,tidak
gakuat,tidak kuat
gamasuk,tidak masuk
gamau,tidak mau
gapake,tidak pakai
gapapa,tidak apa-apa
gapernah,tidak pernah
gapunya,tidak punya
gasuka,tidak suka
gausah,tidak usah
gpny,tidak punya
gpp,tidak apa-apa
gprnh,tidak pernah
gr2,gara-gara
gtw,tidak tahu
gws,get well soon
harini,hari ini
hbd,happy birthday
kdpn,ke depan
kemana,ke mana
kk,kartu keluarga
krmh,ke rumah
ktmpt,ke tempat
maaci,terima kasih
maacih,terima kasih
makasi,terima kasih
makana,karena itu
makasii,terima kasih
makasiih,terima kasih
makasich,terima kasih
makasihh,terima kasih
makasih,terima kasih
makasihhh,terima kasih
malming,malam minggu
mdg,lebih baik
mendingan,lebih baik
mkny,maka itu
mksh,terima kasih
mksih,terima kasih
mndg,lebih baik
mndgn,lebih baik
mnding,lebih baik
nasgor,nasi goreng
ngmps,ke kampus
ngntr,ke kantor
pemprov,pemerintah provinsi
pemrov,pemerintah provinsi
ri,republik indonesia
trimakasih,terima kasih
terimakasih,terima kasih
thanks,terima kasih
thnx,terima kasih
thx,terima kasih
tq,terima kasih
trims,terima kasih
trmksh,terima kasih
tumben,tidak biasa
yaudh,ya sudah
yg,yang
yng,yang
ywdh,ya sudah
ank2nya,anak-anaknya
dikecamatan,di kecamatan
administrsi,administrasi
adminitrasi,administrasi
adminstrasi,administrasi
admisnistrasinya,administrasinya
adny,adanya
adnya,adanya
agar2,agar-agar
agara,agar
agency,agensi
aggota,anggota
ai'rnya,airnya
aimana,bagaimana
akteu,akta
akteunya,aktanya
alasannja,alasannya
alumunium,aluminium
ambii,ambil
ank,anak
anakny,anaknya
anaku,anakku
analisa,analisis
ancman,ancaman
anjuti,lanjuti
ankku,anakku
ankn,anakkan
ankutan,angkutan
annggota,anggota
apakaht,apakah
apakak,apakah
bagiin,bagikan
bagiinnya,bagiannya
bbrp,beberapa
bc,baca
bgni,begini
bgs,bagus
dgrn,dengarin
dh,deh
didenger,didengar
didengerin,didengarkan
diem,diam
dikit,sedikit
dipake,dipakai
ditemenin,ditemani
dituker,ditukar
dkat,dekat
dket,dekat
dlam,dalam
dlem,dalem
dpt,dapat
dr,dari
drh,darah
dri,dari
drmn,darimana
drpd,daripada
dsa,desa
dsini,disini
dsn,dusun
dsun,dusun
dtng,datang
dy,dia
galo,galau
garem,garam
gatel,gatal
gawe,kerja
gni,begini
gnti,ganti
gua,saya
gue,saya
gw,saya
hadeh,aduh
hapal,hafal
harp,harap
hbis,habis
hbng,hubungi
kebawa,terbawa
kec,kecamatan
kemaren,kemarin
kenape,kenapa
kirimin,kirimkan
kite,kita
krg,kurang
krja,kerja
ktemu,ketemu
ktmu,ketemu
maap,maaf
maen,main
make,pakai
malh,malah
mamam,makan
mcm,macam
mct,macet
melulu,selalu
merhatiin,memperhatikan
mknan,makanan
mksd,maksud
mlah,malah
mndgr,mendengar
mndi,mandi
mndapa,mendapat
napas,nafas
nape,kenapa
ngmng,berbicara
ngmpl,berkumpul
ngntk,mengantuk
ngobatin,obati
pegi,pergi
rasane,rasanya
rb,ribu
teros,terus
th,tahun
thd,terhadap
thdp,terhadap
thn,tahun
tipi,tv
tkut,takut
tpt,tepat
tpi,tetapi
trm,terima
tukeran,tukar
tw,tahu
yup,ya
oprasi,operasi
liat,lihat
aanjing,anjing
rep,reputasi
marahmarah,marah
jajanin,jajan
bgt,banget
cnta,cinta
macem,macam
gampaang,gampang
hrsnya,harusnya
bgst,bangsat
syurga,surga
popular,populer
nulis,tulis
tauu,tau
nyeselll,sesal
dcekal,cekal
mengecew,kecewa
dinyiyirin,nyinyir
bencongbencong,bencong
hahahakasian,kasihan
retwee,retweet
najonggg,najong
mintak,minta
tai,tahi
anjirr,anjir
taaik,tahi
taaaik,tahi
qm,kamu
tgg,tanggung
bgtxx,banget
akhlaq,akhlak
radicals,radikal
radical,radikal
goblog,goblok
hoot,hot
ebesar,besar
ngemisg,ngemis
menjelek2an,jelek
menjelekan,jelk
yurga,surga
ngentod,entot
entod,entot
kacian,kasihan
nnton,nonton
emakin,makin
mjadi,menjadi
brbh,berubah
prnh,pernah
antre,antri
sllu,selalu
jengkoleun,jengkol
nabsu,napsu
dangk,doang
ngmg,omong
melidun,melidungi
sesebini,istri
gateeeel,gatel
bole,boleh
tagbir,takbir
ketauan,ketahuan
elo,lo
separo,separuh
negeti,negeri
aliby,alibi
mnjadi,menjadi
fto,foto
bermaksiyat,maksiat
tai,tahi
taek,tahi
telek,tahi
tinja,tahi
wwsan,wawasan
tido,tidur
anggup,sanggup
eperti,seperti
eps,episode
tengok,lihat
tw,tahu
intine,intinya
rak,tidak
sgja,sengaja
krja,kerja
nunggun,tunggu
property,properti
dicapture,tangkap
meki,memek
dajal,dajjal
klw,kalau
albm,album
madatori,pejabat
maapin,maaf
bodoh,goblok
tolol,goblok
kakean,kebanyakan
kuwe,kamu
nak, ingin
korang,kamu
pea,goblok
berjerawatan,jerawat
ancur,hancur
manggil,memanggil
tuk,untuk
nk,ingin
aje,saja
tempek,memek
gendeng,gila
mrsk,merusak
terbahagi,terbagi
nafsu,napsu
ngewri,ngeri
dn,dan
names,nama
multilasi,mutilasi
daleman,dalaman
kuy,ayo
eks,mantan
uppoter,pendukung
suporter,pendukung
uka,suka
bany,banyak
bini,istri
lonte,perek
injek,injak
